rank,arch,hidden,seq_len,epochs,lr,ewma,th_name,recalc_n,precision,recall,f1,accuracy,seg_det,seg_total,score
101,GRU-AE,128,50,30,0.005,0.3,TH1 P99 w50 r30,30,74.9,100.0,81.3,91.4,6,6,81.3
102,GRU-AE,128,50,30,0.005,0.3,TH1 P99 w30 r30,30,74.6,100.0,81.2,91.1,6,6,81.2
103,GRU-AE,64,150,30,0.005,0.3,TH1 P99 w30 r30,30,74.0,100.0,80.9,91.9,6,6,80.9
104,GRU-AE,256,50,30,0.005,0.3,TH1 P99 w30 r30,30,73.9,100.0,80.8,90.7,6,6,80.8
105,GRU-AE,128,150,30,0.005,0.3,TH1 P99 w50 r50,50,75.2,100.0,80.7,91.4,6,6,80.7
106,GRU-AE,64,100,30,0.005,0.3,TH1 P99 w50 r30,30,73.6,100.0,80.5,91.0,6,6,80.5
107,GRU-AE,256,150,30,0.005,0.3,TH1 P99 w50 r50,50,74.6,100.0,80.2,90.9,6,6,80.2
108,GRU-AE,64,50,30,0.005,0.3,TH1 P99 w30 r30,30,72.6,100.0,79.5,89.1,6,6,79.5
109,GRU-AE,64,100,30,0.005,0.3,TH1 P99 w30 r30,30,72.1,100.0,79.5,90.2,6,6,79.5
110,GRU-AE,128,100,30,0.005,0.3,TH1 P99 w50 r50,50,72.7,100.0,79.1,88.7,6,6,79.1
111,GRU-AE,256,100,30,0.005,0.3,TH1 P99 w50 r50,50,72.4,100.0,79.0,88.7,6,6,79.0
112,GRU-AE,64,150,30,0.005,0.3,TH1 P99 w50 r50,50,73.5,100.0,78.9,89.2,6,6,78.9
113,GRU-AE,256,50,30,0.005,0.3,TH1 P99 w50 r50,50,73.0,100.0,78.6,88.0,6,6,78.6
114,GRU-AE,128,100,30,0.005,0.3,TH1 P99 w30 r50,50,71.3,100.0,78.4,87.9,6,6,78.4
115,GRU-AE,128,50,30,0.005,0.3,TH1 P99 w50 r50,50,72.1,100.0,78.2,87.3,6,6,78.2
116,GRU-AE,256,150,30,0.005,0.3,TH1 P99 w30 r50,50,71.2,100.0,78.1,89.3,6,6,78.1
117,GRU-AE,128,150,30,0.005,0.3,TH1 P99 w30 r50,50,71.2,100.0,78.0,89.2,6,6,78.0
118,GRU-AE,64,50,30,0.005,0.3,TH1 P99 w50 r50,50,71.4,100.0,77.9,87.0,6,6,77.9
119,GRU-AE,256,100,30,0.005,0.3,TH1 P99 w30 r50,50,70.2,100.0,77.6,88.6,6,6,77.6
